1,My favorite new dress. i love the feel and slight weight of the fabric. it's very flattering and easy to wear.
0,I am a huge fan of pilcro pants  and was so excited to see them make a pair of vegan leather pants. the idea is great - leather in the front  fully stretchy fabric in the back to give a fitted but comfortable look. however  i couldn't get past the way the seams and leather felt on my knees - really stiff and uncomfortable when you start walking around (can't bend the leg all the way; weird creasing and bunching behind the knee). the fit was perfect everywhere else. sadly  these had to go back :(
0,Love the design  material  and color...the sizing as listed is waaaaay off (running small). returned to store (after purchase online) 3 times to get one that fits  which was at least generally easy :o
1,Wonderful and comfortable dress  very sweet.
-1,I pretty much am in agreement with the first  original reviewer on here. big disappointment  especially if you have hips and are busty.  _____________  pros:  - great breathable fabric.  - cute look overall.  - sash in front brings it all together.  - buttons are hidden under a panel of fabric  which is a nice touch.  ____________  cons:  - runs very small in the bust. normally  i can wear a 10 or 12 with most of retailer's stuff. i tried on a 12 and it fit everywhere with entirely too much room i
-1,This was a disappointment because beautiful fabrics with interesting design are a rarity--and especially at this length! unfortunately  this is a mess in terms of proportions. if a size 2 can barely get it off  then there is a design flaw. sadly  the fit was so strange that it did not seem that simply sizing up would correct the flaws.
1,"The design and colors on this sweater arguably make it a ""statement sweater"". it has a modified raglan type sleeve. i found the sleeves to fit just fine. for reference  i am 5'9""  150 lbs.  34dddd  and the medium fit perfectly. it is not a long sweater and  with my height  i wear a long tank top or cami underneath. i love the way it looks."
1,Bought these in both moss and navy. fits perfect  love the style and the roll down waist. excellent quality.  bought the peachy color top with the elephants to wear with the moss colored one and received lots of compliments.
0,Dress ran very large in every way. beautiful design  lining and quality material. i should have sized down 2 sizes. item is now sold out.
-1,I liked the design and i didn't mind that is see through  but i couldn't put it on ! not size 8 what is my usual size   not size 10 or 12  even 14! my shoulders wouldn't go through the middle part and it is not stretchy   so disappointed. i really wanted to like it.
0,"I so wanted to love this dress! the color and fabrics are beautiful and scream summer! i was so disappointed by the fit through. the different fabrics are such a cool concept but it wasn't executed that well. one material is pleated like an accordion so wants to ""constrict""  the next material is crocheted so is a little more stiff and the third material is pretty average. on the bottom where it's flowy it doesn't make that much of a difference  but on top and in the middle it gives this weird ""i"
