0,I didn't have as much of a problem with the sheer fabric as the other reviewers  but this dress is incredibly long and large  especially compared to the picture. for reference  i'm usually a 4/6 in retailer dresses and the small was huge on me  particularly on the bottom half. i was very disappointed because this dress looks so cute online!
1,Beautiful shirt. the color is more navy than pictured. the middle of the moon is stitched embroiderer - very original and a fun texture. my only qualms with this shirt is the trapezoid cut - it flairs out slightly but enough to notice from shoulders to the bottom hem.
0,"This is a beautiful dress with unfortunate design flaws at the bodice of the dress. the fit at hips and length is perfect  falling just to my knee (i'm 5'5"" 142 lbs.) and grazing my hips. in that regard the fit is spectacular. but the bodice seems cut very oddly  which would require tayloring to correct. the armholes are large and flared at the bottom which leaves 'wings' just under the arms that stick out. since this dress has a side zip  to correct that would seem a major undertaking. the stra"
0,I loved the look of this shirt but full price was a little steep so i waited for it to go on sale and am glad i waited because only a l was left and it was perfect fit since i originally was thinkng of getting a small or medium which i usually do at retailer but this one was running really small compared to retailer other shirts. the fabric is great but when i looked at it carefully  the zipper construction is sewn poorly as well as the sewing at the buttons area...also  there were a lot of thread h
-1,Loved the look of the sweater and the the fit was as shown.  however this is a thin cashmere for the price.  returned.
0,If you like looking like a giant square and hide things this is the way to go. for me  it completely irradiates my shape  including my neck. this will be returned.
1,These tanks are perfect for working out! they have big armholes so could work with a bralette but probably not a normal bra. the material is soft but they do shrink in th wash
0,I ordered a large and it was skin tight  if that's the look you're going for..
-1,This sweater was pretty short. beyond that  when i raised my arms  the thickness of the sweater caused the shoulders to rise up and stay there when i put my arms down.
-1,Was super excited to try this on  but had to go up 3 sizes from my normal 6 and the waist was still too tight - i was swimming in the top as well. just a very strange cut and unflattering. such a bummer because it's so pretty.
0,This is super cute and the colors are so vibrant and its thin enough to wear with tanks for the summer but it already had a hole forming in the upper back shoulder.  i guess the material was a little too thin....$98 is a little too much money for something that gets holes so easily!
-1,This top is exactly what i was hoping for except it is missing the drawstring. so disappointing  mailing it back.
1,The most important thing is that my husband said he really liked the dress when i put it on.
1,Very cute shorts. sadly  after one wash they became a lint magnet so had to be returned. disappointing quality.
-1,This top was way too short (i'm only 5'1) and way too wide. the cut of this top was so wide  it looked like a tent on me. i really wanted to love this top because the material and style (sleeves  ruffle) are beautiful  unfortunately there is something wrong with the cut. i've have several blouses made by one fine day  which fit nicely  for some reason this top did not. i ordered in my usual s size  even going to an xs would not work because the cut is wrong.
0,But i didn't like the fit. maybe because i ordered petite and the length threw me off  but they weren't flattering in any way. the color and material were unique and pleasing. had to send them back though.
0,"I agree with the other reviewer who stated this sweater is very ""80's""!! online it looks minorly fluffy with muted colors  but in person it's a bad overly-fuzzy christmas sweater with super bright 80's colors!! if you're going for kitschy / tacky / retro this may work for you  but if you are looking for the sweater in the photo you'll be disappointed... :( it looked to be true to size  but to be honest i hated it so much i didn't even try it on."
-1,This is the tiniest blazer i've ever purchased in a size 10. i usually wear an 8  but sized up based on other reviews and it was still too small. it's very attractive but please size true to size
1,I tried these on in the store and didn't buy them with the other items in my 'yes' pile. i couldn't stop thinking about them and ended up ordering them. they are so cute. the fabric is a nice weight. they have little stretch.
-1,Bought the dress online and it only has an eye and hook at the top. the waist has no stretch and their isn't a zipper. you have to be a contortionist to get it over your head and shoulders. so cute in the pic but not realistic. going back.
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?
0,"I am 5'8"" and 130 lbs and bought a size s. it fits  but is not as roomy as it appears in the model and the sleeves are not as long. the collar fits strangely on me. the deal breaker was that the sweater is not soft  but is itchy and kind of coarse. i am returning this one."
0,"I love this dress  but it is too short to keep. i am 5'8"" and weigh 124lbs. most of my cloths from retailer are either a size 4 or a small  but this dress is substantially shorter than other dresses purchased from retailer. it looks adorable on  but it is just too short (about 3 inches above my knees) to be considered professional enough to wear to work."
0,"I love ag jeans. i own several pair  and i think they wash well  and wear well. that being said  i'd never purchased a pair of the ""stevie"" cut before. they have the same quality one would expect from ag  and i like that the ankles aren't true skinny jeans  but have a little width. it's more on-trend for this season. for me  the issue was more with the color. i order pink. when they arrived  they were beautiful in the little plastic bag. my heart skipped a beat. hooray! cute new jeans! except  w"
1,So wanted to love this top. love the look entirely. but the medium was beyond snug  so i sent it back for a large. hopefully the bigger size will make it a keeper!
0,I really liked the style of this top but it's way oversized! i'm petite and drowned in this top even though i got it in an xs. the material is nice but i can't see i had a feeling for the cut because it runs so big. this one is going back to the store!
1,This dress stunning for the hourglass figure. the hips may be a little narrow. i bought the 6p and 4p and the 4p fit best. i read some reviews that said the hips were snug. it's true- a little difficult to sit down haha but the dress is so flattering. shoulders are a little loose  and i have pretty broad shoulders and a full chest. i'm 5'4  32dd  waist 27 and 130 lbs.
-1,Definitely agree with the other reviewers. this top looks great on the model  but pretty bad in real life. super boxy and has no give so everything just hangs. if you plan on ordering  i'd recommend sizing down.
-1,Matronly and unflattering. i think this may work on a very tall and slender body type.
0,"Lovely jeans  love the details in the cuff bottoms. the front of the jeans  the relaxed ""boyfriend"" part was just too relaxed for me - too much material there that it was unflattering. otherwise cute."
1,Love the material (more natural fiber than synthetic)  the pattern  and the colors. also  it is cozy! the one con is that it is really big and crazy-long. so long  that it may be a show-stopper. on the fence about that.
1,I got two of these when they went on sale because i hate paying $68 for a basic top like this.. but for the sale price they are great! comfortable  lightweight  and flattering. the black is a little sheer  but nothing a tank underneath can't solve. a good buy!
-1,So i recognized the fact that this dress was likely intended more for lounging than for wearing out and about  but i once had a lot of luck with dresses of this price point (and intent) at retailer  so i had hopes. i was just wanting it to be a great addition for vacations and beach days  but it's honestly so thin i couldn't even see it working that well for that. it's also cut smaller than i was anticipating judging by the way it fits the model; my usual small was way more bodycon than i was anti
1,This dress is a nice twist on a luncheon/work dress. can pair with blazer or sweater  and it looks really cute with hair styled up - almost throwback.    zipper sometimes gets a little caught on the lace top  but overall i'm really happy with this dress!
1,"I saw this piece and fell in love with it. the print is beautiful and is well placed on every piece! it is a little boxy  and is a bit warm for indoors  but it is unusual enough to overlook the flaws. i am 5'10"". usually a small  but sized up to a medium with this one."
-1,As other reviews have mentioned  this top has serious craftsman ship flaws. strings hanging off embellishments on sleeves and they begin unravelling as you try the top on. i wanted to love but sadly  returned asap.
-1,I loved the look of this dress online  so i was excited to order it  but when it arrived i found it was not at all how i expected it to be. i thought the material would be more lacy  but it seemed pretty cheap. there was also some boning at the waist which is nice in theory  but it made the material poof out just under the waist  making me look like i had a belly. no matter what i did i could not get it to lay flat. returned to the store and bought the embroidered perennial dress instead  which
1,I really likes these jeans. they are comfortable with stretch and look cute. the price is high but an investment for sure !
